Node=48050 Seq=0 -15,10,250 29.39 63.07 93.71 1776553899910 
Node=48050 Seq=1 -16,8,250 29.39 63.07 93.71 1776553900145 
Node=48050 Seq=2 -16,9,249 29.45 63.07 93.58 1776553900412 
Node=48050 Seq=3 -14,11,248 29.45 63.07 93.39 1776553900652 
Node=48050 Seq=4 -15,9,250 29.45 63.1 93.84 1776553900891 
Node=48050 Seq=5 -16,10,250 29.45 63.1 93.71 1776553901138 
Node=48050 Seq=6 -17,9,250 29.45 63.1 93.65 1776553901383 
Node=48050 Seq=7 -17,10,250 29.39 63.1 93.65 1776553901622 
Node=48050 Seq=8 -16,10,250 29.45 63.1 93.58 1776553901856 
Node=48050 Seq=9 -15,9,250 29.45 63.1 93.65 1776553902101 
Node=48050 Seq=10 -15,9,250 29.45 63.1 93.71 1776553902354 
Node=48050 Seq=11 -14,8,250 29.45 63.1 93.65 1776553902586 
Node=48050 Seq=12 -15,11,250 29.45 63.1 93.58 1776553902831 
Node=48050 Seq=13 -17,10,250 29.45 63.1 93.65 1776553903069 
Node=48050 Seq=14 -16,10,250 29.45 63.1 93.65 1776553903303 
Node=48050 Seq=15 -16,9,250 29.45 63.1 93.58 1776553903552 
Node=48050 Seq=16 -15,10,250 29.45 63.1 93.52 1776553903790 
Node=48050 Seq=17 -15,10,250 29.45 63.1 93.58 1776553904029 
Node=48050 Seq=18 -16,10,250 29.45 63.1 93.58 1776553904274 
Node=48050 Seq=19 -23,98,373 29.45 63.12 93.71 1776553904520 
Node=48050 Seq=20 -10,4,249 29.45 63.1 93.65 1776553904763 
Node=48050 Seq=21 -15,5,250 29.45 63.12 93.58 1776553904995 
Node=48050 Seq=22 -22,7,248 29.45 63.12 93.46 1776553905241 
Node=48050 Seq=23 -20,12,250 29.45 63.12 93.58 1776553905496 
Node=48050 Seq=24 -15,11,249 29.45 63.12 93.71 1776553905734 
Node=48050 Seq=25 -16,8,250 29.45 63.12 93.58 1776553905978 
Node=48050 Seq=26 -18,10,249 29.45 63.12 93.39 1776553906219 
Node=48050 Seq=27 -18,9,250 29.45 63.12 93.58 1776553906468 
Node=48050 Seq=28 -17,9,250 29.45 63.12 93.65 1776553906707 
Node=48050 Seq=29 -15,8,250 29.45 63.12 93.58 1776553906951 
Node=48050 Seq=30 -17,8,250 29.45 63.12 93.39 1776553907190 
Node=48050 Seq=31 -15,10,250 29.45 63.12 93.58 1776553907436 
Node=48050 Seq=32 -17,9,251 29.45 63.12 93.52 1776553907673 
Node=48050 Seq=33 -18,9,249 29.45 63.12 93.71 1776553907912 
Node=48050 Seq=34 -17,8,250 29.45 63.12 93.58 1776553908161 
Node=48050 Seq=35 -16,10,250 29.45 63.12 93.58 1776553908400 
Node=48050 Seq=36 -16,10,250 29.45 63.12 93.58 1776553908639 
Node=48050 Seq=37 -12,17,249 29.45 63.1 93.58 1776553908883 
Node=48050 Seq=38 -10,9,250 29.45 63.12 93.71 1776553909117 
Node=48050 Seq=39 -14,10,250 29.45 63.1 93.58 1776553909356 
Node=48050 Seq=40 -18,9,250 29.45 63.12 93.52 1776553909611 
Node=48050 Seq=41 -6,8,250 29.45 63.1 93.71 1776553909854 
Node=48050 Seq=42 -18,10,249 29.45 63.12 93.58 1776553910095 
Node=48050 Seq=43 -14,8,251 29.45 63.1 93.58 1776553910333 
Node=48050 Seq=44 -15,9,251 29.45 63.1 93.46 1776553910583 
Node=48050 Seq=45 -16,10,249 29.45 63.1 93.58 1776553910823 
Node=48050 Seq=46 -17,9,250 29.45 63.1 93.71 1776553911062 
Node=48050 Seq=47 -17,9,251 29.45 63.1 93.52 1776553911305 
Node=48050 Seq=48 -16,8,249 29.51 63.1 93.65 1776553911550 
Node=48050 Seq=49 -17,9,249 29.45 63.1 93.65 1776553911784 
Node=48050 Seq=50 -16,8,251 29.45 63.1 93.58 1776553912027 
Node=48050 Seq=51 -17,9,250 29.51 63.1 93.71 1776553912262 
Node=48050 Seq=52 -16,9,250 29.45 63.1 93.71 1776553912505 
Node=48050 Seq=53 -16,9,250 29.45 63.1 93.52 1776553912750 
Node=48050 Seq=54 -16,9,249 29.45 63.1 93.46 1776553912989 
Node=48050 Seq=55 -16,9,250 29.51 63.1 93.58 1776553913232 
Node=48050 Seq=56 -17,9,251 29.45 63.07 93.58 1776553913472 
Node=48050 Seq=57 -16,8,251 29.51 63.1 93.71 1776553913714 
Node=48050 Seq=58 -17,9,250 29.45 63.07 93.58 1776553913960 
Node=48050 Seq=59 -13,8,250 29.45 63.07 93.58 1776553914204 
Node=48050 Seq=60 -17,9,250 29.45 63.07 93.71 1776553914443 
Node=48050 Seq=61 -18,10,249 29.45 63.07 93.71 1776553914689 
Node=48050 Seq=62 -17,8,249 29.51 63.07 93.58 1776553914938 
Node=48050 Seq=63 -16,8,250 29.45 63.07 93.65 1776553915180 
Node=48050 Seq=64 -17,9,251 29.45 63.07 93.65 1776553915411 
Node=48050 Seq=65 -17,8,250 29.45 63.07 93.71 1776553915667 
Node=48050 Seq=66 -15,9,250 29.51 63.07 93.71 1776553915905 
Node=48050 Seq=67 -17,10,251 29.51 63.07 93.58 1776553916148 
